freq_mhz,canal,mediana,pct_ocupado
840.0,A,-57.323,67.213
840.02,A,-57.861,55.738
840.039,A,-61.037,49.18
840.059,A,-62.658,40.984
840.078,A,-63.31,36.066
840.098,A,-63.927,37.705
840.117,A,-64.06,37.705
840.137,A,-64.426,34.426
840.156,A,-66.414,31.148
840.176,A,-66.74,29.508
840.195,A,-66.827,31.148
840.215,A,-66.998,26.23
840.234,A,-67.899,27.869
840.254,A,-68.029,22.951
840.273,A,-67.6,22.951
840.293,A,-68.251,24.59
840.312,A,-68.954,21.311
840.332,A,-68.848,21.311
840.352,A,-69.578,18.033
840.371,A,-68.551,18.033
840.391,A,-69.644,19.672
840.41,A,-71.062,19.672
840.43,A,-70.146,18.033
840.449,A,-71.161,16.393
840.469,A,-70.826,16.393
840.488,A,-70.42,18.033
840.508,A,-69.331,19.672
840.527,A,-69.796,16.393
840.547,A,-70.057,16.393
840.566,A,-69.753,16.393
840.586,A,-70.072,18.033
840.605,A,-72.279,18.033
840.625,A,-71.442,18.033
840.645,A,-70.824,18.033
840.664,A,-70.435,16.393
840.684,A,-70.059,16.393
840.703,A,-69.482,16.393
840.723,A,-69.405,18.033
840.742,A,-70.697,14.754
840.762,A,-70.764,16.393
840.781,A,-69.536,18.033
840.801,A,-69.788,19.672
840.82,A,-69.311,19.672
840.84,A,-70.821,18.033
840.859,A,-71.399,19.672
840.879,A,-70.325,18.033
840.898,A,-69.875,21.311
840.918,A,-71.19,19.672
840.938,A,-71.967,19.672
840.957,A,-72.16,19.672
840.977,A,-69.658,19.672
840.996,A,-70.704,19.672
841.016,A,-72.044,21.311
841.035,A,-70.482,19.672
841.055,A,-70.337,19.672
841.074,A,-70.311,19.672
841.094,A,-72.012,19.672
841.113,A,-71.179,22.951
841.133,A,-70.92,19.672
841.152,A,-70.433,16.393
841.172,A,-70.736,19.672
841.191,A,-70.619,21.311
841.211,A,-71.769,18.033
841.23,A,-70.527,19.672
841.25,A,-70.204,16.393
841.27,A,-71.803,16.393
841.289,A,-72.181,19.672
841.309,A,-70.513,18.033
841.328,A,-70.43,18.033
841.348,A,-70.078,18.033
841.367,A,-72.552,16.393
841.387,A,-71.692,18.033
841.406,A,-69.842,19.672
841.426,A,-69.752,19.672
841.445,A,-69.684,18.033
841.465,A,-69.013,16.393
841.484,A,-70.483,19.672
841.504,A,-70.597,16.393
841.523,A,-71.71,18.033
841.543,A,-71.354,18.033
841.562,A,-69.78,19.672
841.582,A,-70.199,19.672
841.602,A,-70.252,21.311
841.621,A,-70.421,19.672
841.641,A,-71.417,19.672
841.66,A,-70.409,18.033
841.68,A,-70.9,19.672
841.699,A,-71.315,18.033
841.719,A,-70.898,18.033
841.738,A,-70.676,18.033
841.758,A,-71.074,19.672
841.777,A,-70.744,22.951
841.797,A,-69.778,22.951
841.816,A,-69.249,21.311
841.836,A,-69.858,18.033
841.855,A,-70.083,18.033
841.875,A,-70.09,18.033
841.895,A,-70.221,16.393
841.914,A,-70.552,16.393
