temp,lon,lat,alt,error_gps,archivo,orden,nivel,piso,pico,antena,gps_imputado,p_A,p_B,p_C,p_D,p_frec_max
42.807022,-75.58667,6.243257,1500.6,0.8,001.txt,1,-68.169337,-73.495558,-26.675438,False,False,-43.987733,-43.776426,-14.420523,-43.190576,-27.066175
44.561401,-75.588208,6.241162,1504.8,0.9,002.txt,2,-65.56193,-75.815076,-26.105563,False,False,-43.841993,-41.837038,-13.759416,-39.477139,-26.629837
45.1462,-75.589397,6.239962,1506.3,0.8,003.txt,3,-77.767025,-80.734339,-26.379586,False,False,-56.40015,-48.935981,-19.207329,-52.253609,-26.379586
45.438599,-75.592807,6.239172,1514.0,0.8,004.txt,4,-88.560317,-91.687821,-47.782196,False,False,-63.567337,-63.000287,-39.726196,-65.105723,-53.742536
45.438599,-75.596313,6.239023,1526.6,0.8,005.txt,5,-89.267711,-92.344048,-49.009107,False,False,-64.392494,-64.618759,-40.836725,-64.552642,-56.628757
46.315788,-75.602188,6.238812,1543.8,0.8,006.txt,6,-70.058353,-78.550383,-40.66884,False,False,-45.879725,-38.904665,-25.88939,-45.309374,-40.93556
44.561401,-75.602182,6.231855,1547.3,0.8,007.txt,7,-71.319062,-73.913302,-42.785356,False,False,-47.071084,-46.595623,-36.876912,-47.34975,-61.04088
45.438599,-75.60079,6.22636,1545.0,4.4,008.txt,8,-85.837624,-88.564063,-54.300679,False,True,-62.099115,-61.337561,-47.770457,-60.721058,-63.935228
46.608187,-75.599398,6.220865,1542.7,1.1,009.txt,9,-66.666252,-71.981701,-15.332861,False,False,-40.477671,-9.640243,-34.258115,-20.835138,-60.060506
46.608187,-75.598893,6.218407,1534.7,1.1,010.txt,10,-90.73804,-93.309852,-48.873463,False,False,-66.196101,-66.220466,-41.104179,-66.297584,-52.232299
47.192986,-75.597762,6.216243,1531.5,1.2,011.txt,11,-80.098926,-87.429058,-47.227064,False,False,-49.238024,-53.798265,-38.177788,-50.448938,-65.650766
47.192986,-75.59598,6.212743,1530.7,1.2,012.txt,12,-86.90146,-89.666053,-57.449888,False,False,-57.489849,-55.015186,-49.101189,-58.731993,-64.260655
47.192983,-75.594832,6.210568,1544.4,1.0,013.txt,13,-85.562969,-89.375232,-50.327714,False,False,-49.709068,-56.141569,-40.489613,-59.905904,-57.069004
47.485382,-75.589623,6.207768,1535.0,1.0,014.txt,14,-86.164128,-89.544047,-38.710004,False,False,-44.872351,-62.544064,-35.929319,-62.86731,-44.397638
48.070175,-75.588037,6.204812,1526.8,1.0,015.txt,15,-84.742727,-88.195448,-32.066118,False,False,-61.194104,-60.326719,-26.747967,-60.963135,-37.976541
48.654973,-75.584488,6.201187,1528.0,1.0,016.txt,16,-27.729848,-36.960976,-3.63924,True,False,-4.748439,-2.873785,12.755846,-4.415939,-14.114349
47.485382,-75.584948,6.199072,1529.65,17.3,017.txt,17,-63.893604,-68.45811,-17.222486,False,True,-30.416649,-37.043397,-11.784206,-39.341396,-40.868583
48.070175,-75.585408,6.196957,1531.3,1.0,018.txt,18,-52.182539,-59.285434,-16.046714,False,False,-31.982793,-9.109859,-11.731083,-18.523668,-35.116555
47.777779,-75.583293,6.195625,1530.5,0.9,019.txt,19,-80.437021,-86.347639,-39.553161,False,False,-57.6642,-54.277169,-33.328449,-53.336524,-57.612655
48.070178,-75.585848,6.186887,1537.7,1.0,020.txt,20,-57.893486,-64.033085,-10.728743,False,False,-36.377278,-4.996719,-27.138934,-18.785636,-40.384847
48.070175,-75.591577,6.18019,1547.6,1.0,021.txt,21,-67.242027,-73.270381,-33.118045,False,False,-41.834152,-36.752341,-21.684438,-43.324953,-45.676768
47.485382,-75.59803,6.174153,1558.4,0.9,022.txt,22,-52.821875,-56.630433,-23.60167,False,False,-30.347398,-27.882942,-7.045079,-28.653669,-29.8599
48.070178,-75.603515,6.170223,1568.8,0.9,023.txt,23,-57.420143,-64.65171,-16.493504,False,False,-36.068968,-32.948107,-6.276556,-31.656454,-20.447563
48.654973,-75.605795,6.168597,1574.0,1.0,024.txt,24,-43.435626,-50.848536,-9.897122,False,False,-20.874132,-1.968534,3.875772,-17.845847,-11.984652
48.070175,-75.606007,6.164637,1578.9,0.9,025.txt,25,-47.634072,-56.114653,-15.987087,False,False,-26.25648,-22.304133,0.535373,-22.577306,-22.916354
48.362574,-75.605143,6.160872,1584.9,1.2,026.txt,26,-67.934907,-72.019041,-30.731908,False,False,-44.930874,-44.713574,-20.725852,-42.464915,-46.779203
48.070175,-75.609505,6.158005,1589.6,1.4,027.txt,27,-79.009351,-84.791815,-36.699867,False,False,-51.48132,-47.389396,-28.879725,-52.797711,-54.920045
48.070175,-75.602987,6.162517,1577.9,1.0,028.txt,28,-54.035152,-60.051272,-11.849261,False,False,-31.079773,-4.677575,-7.944397,-15.335376,-29.458286
48.070175,-75.600448,6.16507,1569.2,1.0,029.txt,29,-53.971804,-61.646922,-29.026063,False,False,-30.814997,-34.464665,-14.768046,-26.579272,-33.15815
48.362574,-75.596542,6.16771,1563.9,1.3,030.txt,30,-65.96013,-75.86055,-40.157123,False,False,-43.104157,-39.660207,-22.622044,-40.819825,-42.052805
48.362574,-75.594955,6.167342,1565.9,1.0,031.txt,31,-54.908269,-62.559941,-12.782614,False,False,-34.673143,-4.9795,-20.155207,-14.768009,-37.013757
48.947372,-75.595167,6.170393,1562.3,1.0,032.txt,32,-88.755892,-91.173068,-40.857247,False,False,-57.616561,-65.461779,-35.249497,-63.288091,-48.224919
48.362574,-75.592163,6.173835,1567.3,0.8,033.txt,33,-61.667813,-68.783535,-18.764331,False,False,-40.456228,-14.807865,-16.167992,-38.594743,-35.38739
48.654973,-75.588298,6.179202,1540.2,0.9,034.txt,34,-55.431737,-62.72805,-9.880397,False,False,-33.452192,-3.811929,-27.21989,-15.222351,-51.498831
48.947372,-75.585962,6.177483,1564.1,0.9,035.txt,35,-60.28141,-67.162917,-32.489585,False,False,-38.798285,-31.960522,-16.822296,-36.050697,-48.882134
48.947372,-75.58374,6.178962,1555.8,1.0,036.txt,36,-61.680716,-66.888498,-20.360979,False,False,-39.860698,-37.516991,-10.456223,-36.246016,-46.386417
48.947372,-75.579712,6.183435,1556.1,0.8,037.txt,37,-63.456704,-71.799907,-37.893877,False,False,-23.97477,-39.47667,-28.001908,-40.025795,-53.782459
49.239769,-75.577865,6.187263,1574.7,0.9,038.txt,38,-73.525637,-82.703209,-38.127919,False,False,-52.292945,-46.077825,-23.675318,-47.848982,-53.503837
49.824562,-75.576392,6.19392,1560.6,0.9,039.txt,39,-80.636668,-84.01942,-26.230313,False,False,-56.614888,-54.085199,-21.647256,-56.553927,-37.559601
49.532166,-75.574593,6.197108,1565.1,1.2,040.txt,40,-82.996081,-85.852373,-30.114212,False,False,-59.018989,-57.430938,-24.036597,-56.28601,-35.945707
49.239769,-75.574048,6.198302,1561.3,0.9,041.txt,41,-64.942087,-68.034654,-41.420347,False,False,-40.658018,-39.357927,-27.720423,-39.376455,-45.069298
49.239769,-75.573372,6.199565,1558.1,1.0,042.txt,42,-69.678236,-77.632283,-38.932935,False,False,-46.736135,-41.459611,-22.190182,-45.495455,-42.743238
49.532166,-75.572355,6.20146,1553.2,1.0,043.txt,43,-75.80775,-81.618385,-40.334413,False,False,-53.23794,-49.978009,-27.204758,-49.124906,-41.674781
49.532166,-75.571858,6.202915,1549.1,0.9,044.txt,44,-62.314514,-67.899693,-36.697247,False,False,-39.901216,-37.47662,-17.864176,-37.003969,-40.517083
49.239769,-75.57146,6.205747,1546.7,0.9,045.txt,45,-59.059272,-66.308814,-11.814795,False,False,-33.727434,-4.306692,-27.829278,-14.353986,-51.12478
49.824562,-75.57089,6.209348,1549.0,1.2,046.txt,46,-84.172422,-87.203293,-34.15943,False,False,-57.730456,-58.026479,-26.948009,-60.031605,-56.324717
49.532166,-75.570337,6.210792,1551.0,0.8,047.txt,47,-89.456045,-92.625565,-38.786549,False,False,-63.357,-62.271519,-30.802865,-65.653185,-55.119363
48.947372,-75.569955,6.212392,1553.3,0.8,048.txt,48,-65.601104,-70.976924,-34.346809,False,False,-44.135145,-37.477295,-18.13813,-41.796177,-40.222295
49.532166,-75.569442,6.219623,1533.5,0.8,049.txt,49,-74.587863,-80.199138,-24.809145,False,False,-53.794345,-48.215944,-17.197791,-50.811943,-50.860694
48.947372,-75.56914,6.2267,1513.3,0.9,050.txt,50,-65.35606,-72.516695,-32.924343,False,False,-41.642496,-37.501403,-18.418655,-41.533652,-53.862236
49.239769,-75.57015,6.228197,1508.6,0.9,051.txt,51,-78.684706,-84.956181,-44.777426,False,False,-48.400614,-50.518267,-31.872734,-49.715748,-55.327397
48.947372,-75.574252,6.231,1506.6,0.8,052.txt,52,-52.7654,-55.408034,-26.594326,False,False,-30.480144,-27.98513,-9.616973,-27.768163,-34.876758
49.532166,-75.577377,6.232,1499.0,0.8,053.txt,53,-79.103825,-84.995805,-41.440637,False,False,-50.04354,-51.16787,-28.671129,-51.765892,-45.273364
48.947372,-75.58073,6.23199,1502.9,0.9,054.txt,54,-66.227609,-70.597013,-37.758798,False,False,-43.618316,-40.063546,-21.235843,-42.405577,-40.2596
49.532166,-75.58601,6.23184,1509.1,0.8,055.txt,55,-68.464284,-72.525306,-26.810582,False,False,-46.089514,-44.248374,-17.301546,-42.439241,-32.111059
